word,definition
algorithm,a finite sequence of well-defined instructions for solving a problem
API (Application Programming Interface),a set of rules and protocols for building and interacting with software components
bandwidth,the maximum rate of data transfer across a given path
cache,a hardware or software component that stores data so future requests can be served faster
cloud computing,the delivery of computing services over the internet on a pay-as-you-go basis
containerization,a lightweight form of virtualization in which applications run in isolated user-space instances
DevOps,a set of practices that combines software development (Dev) and IT operations (Ops) to shorten the development lifecycle
firewall,a network security device that monitors and filters incoming and outgoing network traffic
hypervisor,software that creates and runs virtual machines
latency,the delay between a user action and a web applicationâ€™s response
microservices,an architectural style that structures an application as a collection of loosely coupled services
ORM (Object-Relational Mapping),a technique for converting data between incompatible systems using object-oriented languages
REST (Representational State Transfer),an architectural style for designing networked applications using stateless HTTP requests
SSL/TLS,cryptographic protocols designed to provide communications security over a computer network
virtualization,the creation of a virtual (rather than actual) version of something, such as an operating system or server